x,y,set,pval
46,9,{13},0.21283402066248946
43,39,{9},0.5959884889842133
34,45,"{38, 39}",0.8421536744869398
45,14,{24},0.1689059908392132
22,24,{14},0.28220985998443293
13,48,{38},0.3828130516878534
10,46,"{44, 30, 47}",0.3724580297193114
13,48,{38},0.3828130516878534
3,48,{38},0.8598168759796967
13,46,"{44, 30, 47}",0.5570650428516244
47,13,{23},0.15608869484220045
22,39,{14},0.391019430321196
25,38,{23},0.8993111266893301
48,13,{38},0.3828130516878534
24,22,{14},0.28220985998443293
34,38,{23},0.5391705083672149
34,9,{13},0.7723182602619505
2,45,"{38, 39}",0.0033274795053785944
42,45,{17},0.36078184567260996
20,48,{38},0.12437380901647144
48,43,{38},0.9134445357126422
28,46,"{44, 30, 47}",0.7591709653352128
40,45,{22},0.38298791070634985
9,38,{13},0.6459655086664675
42,45,{17},0.36078184567260996
44,47,"{34, 10, 46, 14, 31}",0.6145100396155241
45,34,"{38, 39}",0.8421536744869391
47,18,"{28, 30}",0.12300001375521186
43,39,{9},0.5959884889842133
47,9,{13},0.3274549917607392
39,4,{12},0.34501458972005183
25,13,{23},0.15877079097307067
13,45,"{38, 39}",0.6348261394576129
37,13,{9},0.6038570259723974
25,43,{23},0.0022844316200716364
17,45,"{38, 39}",0.7078588693318522
38,2,{9},0.43835098889886304
47,21,{23},0.7127050244239406
25,45,"{38, 39}",0.11157605385025304
46,38,"{44, 30, 47}",0.07147057415280966
45,48,{38},0.29951809932084394
9,45,"{38, 39}",0.9808767699562579
46,41,{28},0.6930610539297319
9,25,{23},0.0023053001362436376
46,28,"{44, 30, 47}",0.7591709653352161
48,43,{38},0.9134445357126422
45,46,"{38, 39}",0.6109339252943684
4,39,{12},0.34501458972005183
46,38,"{44, 30, 47}",0.07147057415280966
39,13,"{9, 23}",0.4629468336398064
45,33,{21},0.3190684800671466
2,38,{9},0.43835098889886304
4,45,{12},0.0007024114937272952
9,48,{38},0.1833287735646454
42,37,{17},0.020518302233444752
21,47,{23},0.7127050244239406
22,46,{14},0.3579199638936932
45,24,"{38, 39}",0.918764783182739
2,25,{9},0.3765827760091316
37,34,{23},0.39938422776489135
26,45,"{38, 39}",0.964170939000619
45,23,"{38, 39}",0.7625459597713464
43,38,{9},0.30230466663923794
9,34,{23},0.8193503031429474
48,3,{38},0.8598168759796967
39,30,{28},0.010945107456092451
45,42,{17},0.36078184567260996
47,24,{14},0.008419620490465185
45,5,{24},0.9364362111748088
46,4,{12},7.669608074190037e-06
30,47,"{34, 10, 46, 14, 31}",0.5501282215860683
33,45,"{38, 39}",0.0604783990526474
30,39,{28},0.010945107456092451
25,39,{23},0.28582662462482133
21,25,{23},0.5731168719872055
13,39,"{9, 23}",0.4629468336398126
43,38,{9},0.30230466663923794
47,25,{23},0.6634368264532249
39,43,{9},0.5959884889842133
20,47,"{28, 30}",0.2927419709880119
46,10,"{44, 30, 47}",0.37245802971930986
17,45,"{38, 39}",0.7078588693318522
25,47,{23},0.6634368264532249
25,34,{23},0.9235456574698622
42,39,{17},0.6905196476658835
42,37,{17},0.020518302233444752
31,46,"{44, 30, 47}",0.07986972715712382
31,46,"{44, 30, 47}",0.07986972715712382
25,34,{23},0.9235456574698622
46,10,"{44, 30, 47}",0.37245802971930986
37,25,{23},0.29363127076661444
45,17,"{2, 37}",0.2732605008928206
23,39,"{34, 37}",0.6737702876916434
37,46,{2},0.6909356399768305
25,39,{23},0.28582662462482133
34,30,{28},0.9715821759707919
47,4,{12},0.23750212820592842
4,28,{12},2.0551933845869286e-06
13,39,"{9, 23}",0.4629468336398126
37,45,"{38, 39}",2.220446049250313e-16
39,17,"{2, 37}",0.2107149571248077
47,9,{13},0.3274549917607392
2,39,"{9, 37}",0.06315848411503633
38,25,{23},0.8993111266893301
43,39,{9},0.5959884889842133
45,28,"{38, 39}",0.8770300294257218
20,48,{38},0.12437380901647144
23,47,"{34, 28}",0.266016656129878
33,45,"{38, 39}",0.0604783990526474
48,37,{38},0.8000060042744539
25,39,{23},0.28582662462482133
46,43,{9},0.5401986924175293
4,30,{12},0.193187686797764
43,25,{23},0.0022844316200716364
10,46,"{44, 30, 47}",0.3724580297193114
4,45,{12},0.0007024114937272952
42,39,{17},0.6905196476658835
25,33,{21},0.21469814145934096
48,25,{38},0.06390111613297011
46,4,{12},7.669608074190037e-06
37,46,{2},0.6909356399768305
46,13,{23},0.6426572226016947
37,23,{13},0.4973158213975788
17,45,"{38, 39}",0.7078588693318522
45,13,"{38, 39}",0.6348261394576191
25,34,{23},0.9235456574698622
39,38,{13},0.11642835100546933
46,14,"{44, 30, 47}",0.37149062916846387
47,38,"{20, 13}",0.9952549285561658
41,47,{28},0.5618781181294614
43,37,{2},0.352798325878547
25,46,{23},0.5193865962788455
43,48,{38},0.9134445357126422
40,39,{22},0.2718593990233198
47,21,{23},0.7127050244239406
39,14,{24},0.5409273841956719
2,25,{9},0.3765827760091316
22,45,{14},0.274586662243943
26,48,{38},0.16083116826135324
41,43,{6},0.8861799683036156
39,43,{9},0.5959884889842133
46,23,"{44, 30, 47}",0.961653743226194
39,28,"{34, 23}",0.6065212517246867
46,24,{14},0.7520512386974993
25,21,{23},0.5731168719872055
12,47,{28},0.0
4,46,{12},7.669608074190037e-06
36,45,"{38, 39}",0.8431640338047739
46,29,{10},0.9521593981840828
38,46,"{44, 30, 47}",0.0714705741528101
46,28,"{44, 30, 47}",0.7591709653352161
33,39,{21},0.9808634814250294
37,25,{23},0.29363127076661444
23,38,{13},0.44158943126260475
38,39,"{34, 37}",0.09214596200414782
45,24,"{38, 39}",0.918764783182739
43,25,{23},0.0022844316200716364
28,39,"{34, 23}",0.606521251724689
46,25,{23},0.5193865962788455
39,5,{24},0.02932383713496267
39,9,"{2, 13}",0.6144812773711505
