"name","pval","samplesize","degree","TPR","TDR","FPR","ACC","SHD"
"cg50_2_1",0.005,200,2,0.8125,1,0,0.99265306122449,30
"cg50_2_1",0.005,2000,2,0.979166666666667,0.959183673469388,0.00169923534409516,0.997551020408163,15
"cg50_2_1",0.05,200,2,0.895833333333333,0.843137254901961,0.00679694137638063,0.989387755102041,30
"cg50_2_1",0.05,2000,2,0.958333333333333,0.901960784313726,0.00424808836023789,0.994285714285714,19
"cg50_2_2",0.005,200,2,0.857142857142857,0.976744186046512,0.000850340136054422,0.993469387755102,33
"cg50_2_2",0.005,2000,2,1,1,0,1,16
"cg50_2_2",0.05,200,2,0.857142857142857,0.893617021276596,0.00425170068027211,0.990204081632653,34
"cg50_2_2",0.05,2000,2,0.979591836734694,0.888888888888889,0.00510204081632653,0.994285714285714,21
"cg50_2_3",0.005,200,2,0.649122807017544,1,0,0.983673469387755,54
"cg50_2_3",0.005,2000,2,0.982456140350877,1,0,0.999183673469388,16
"cg50_2_3",0.05,200,2,0.789473684210526,0.9375,0.00256849315068493,0.987755102040816,44
"cg50_2_3",0.05,2000,2,0.982456140350877,0.918032786885246,0.00428082191780822,0.995102040816327,27
"cg50_2_4",0.005,200,2,0.833333333333333,1,0,0.99265306122449,29
"cg50_2_4",0.005,2000,2,1,0.981818181818182,0.00085397096498719,0.999183673469388,16
"cg50_2_4",0.05,200,2,0.907407407407407,0.942307692307692,0.00256191289496157,0.993469387755102,26
"cg50_2_4",0.05,2000,2,1,0.885245901639344,0.00597779675491033,0.994285714285714,22
"cg50_2_5",0.005,200,2,0.872340425531915,1,0,0.995102040816327,27
"cg50_2_5",0.005,2000,2,0.978723404255319,1,0,0.999183673469388,16
"cg50_2_5",0.05,200,2,0.936170212765957,0.956521739130435,0.00169779286926995,0.995918367346939,26
"cg50_2_5",0.05,2000,2,1,0.92156862745098,0.0033955857385399,0.996734693877551,18
"cg50_2_6",0.005,200,2,0.833333333333333,0.972222222222222,0.00084530853761623,0.993469387755102,27
"cg50_2_6",0.005,2000,2,1,0.976744186046512,0.00084530853761623,0.999183673469388,16
"cg50_2_6",0.05,200,2,0.880952380952381,0.822222222222222,0.00676246830092984,0.989387755102041,32
"cg50_2_6",0.05,2000,2,1,0.91304347826087,0.00338123415046492,0.996734693877551,18
"cg50_2_7",0.005,200,2,0.857142857142857,1,0,0.994285714285714,37
"cg50_2_7",0.005,2000,2,1,0.98,0.000850340136054422,0.999183673469388,26
"cg50_2_7",0.05,200,2,0.959183673469388,0.94,0.00255102040816327,0.995918367346939,29
"cg50_2_7",0.05,2000,2,1,0.942307692307692,0.00255102040816327,0.997551020408163,25
"cg50_2_8",0.005,200,2,0.955555555555556,1,0,0.998367346938775,22
"cg50_2_8",0.005,2000,2,1,1,0,1,16
"cg50_2_8",0.05,200,2,0.866666666666667,0.906976744186046,0.00338983050847458,0.991836734693878,33
"cg50_2_8",0.05,2000,2,1,0.865384615384615,0.00593220338983051,0.994285714285714,26
"cg50_2_9",0.005,200,2,0.936170212765957,1,0,0.997551020408163,29
"cg50_2_9",0.005,2000,2,1,1,0,1,19
"cg50_2_9",0.05,200,2,0.936170212765957,1,0,0.997551020408163,25
"cg50_2_9",0.05,2000,2,1,0.824561403508772,0.00848896434634975,0.991836734693878,28
"cg50_2_10",0.005,200,2,0.894736842105263,1,0,0.996734693877551,24
"cg50_2_10",0.005,2000,2,1,1,0,1,17
"cg50_2_10",0.05,200,2,0.921052631578947,0.875,0.004212299915754,0.993469387755102,26
"cg50_2_10",0.05,2000,2,1,0.844444444444444,0.0058972198820556,0.994285714285714,23
"cg50_2_11",0.005,200,2,0.880952380952381,1,0,0.995918367346939,27
"cg50_2_11",0.005,2000,2,1,0.933333333333333,0.00253592561284869,0.997551020408163,16
"cg50_2_11",0.05,200,2,0.952380952380952,0.869565217391304,0.00507185122569738,0.993469387755102,22
"cg50_2_11",0.05,2000,2,1,0.84,0.00676246830092984,0.993469387755102,23
"cg50_2_12",0.005,200,2,0.72,1,0,0.988571428571429,40
"cg50_2_12",0.005,2000,2,0.98,1,0,0.999183673469388,16
"cg50_2_12",0.05,200,2,0.82,0.953488372093023,0.00170212765957447,0.991020408163265,32
"cg50_2_12",0.05,2000,2,0.98,0.98,0.000851063829787234,0.998367346938775,16
"cg50_2_13",0.005,200,2,0.859649122807018,1,0,0.993469387755102,35
"cg50_2_13",0.005,2000,2,0.982456140350877,0.982456140350877,0.000856164383561644,0.998367346938775,19
"cg50_2_13",0.05,200,2,0.87719298245614,0.943396226415094,0.00256849315068493,0.991836734693878,35
"cg50_2_13",0.05,2000,2,0.982456140350877,0.848484848484849,0.00856164383561644,0.991020408163265,28
"cg50_2_14",0.005,200,2,0.903846153846154,0.94,0.00255754475703325,0.993469387755102,27
"cg50_2_14",0.005,2000,2,1,0.962962962962963,0.00170502983802217,0.998367346938775,13
"cg50_2_14",0.05,200,2,0.923076923076923,0.96,0.00170502983802217,0.995102040816327,26
"cg50_2_14",0.05,2000,2,1,0.928571428571429,0.00341005967604433,0.996734693877551,15
"cg50_2_15",0.005,200,2,0.735294117647059,1,0,0.98530612244898,55
"cg50_2_15",0.005,2000,2,0.926470588235294,0.984375,0.000864304235090752,0.995102040816327,26
"cg50_2_15",0.05,200,2,0.794117647058823,0.931034482758621,0.00345721694036301,0.98530612244898,52
"cg50_2_15",0.05,2000,2,0.926470588235294,0.954545454545455,0.00259291270527226,0.993469387755102,28
