"name","pval","samplesize","degree","TPR","TDR","FPR","ACC","SHD"
"cg50_2_1",0.005,200,2,0.729166666666667,1,0,0.989387755102041,41
"cg50_2_1",0.005,2000,2,0.9375,0.918367346938776,0.00339847068819031,0.994285714285714,21
"cg50_2_1",0.05,200,2,0.8125,0.847826086956522,0.00594732370433305,0.986938775510204,36
"cg50_2_1",0.05,2000,2,0.958333333333333,0.807017543859649,0.00934579439252336,0.989387755102041,25
"cg50_2_2",0.005,200,2,0.836734693877551,1,0,0.993469387755102,36
"cg50_2_2",0.005,2000,2,0.897959183673469,0.977777777777778,0.000850340136054422,0.995102040816327,26
"cg50_2_2",0.05,200,2,0.857142857142857,0.875,0.00510204081632653,0.989387755102041,38
"cg50_2_2",0.05,2000,2,0.918367346938776,0.9375,0.00255102040816327,0.994285714285714,27
"cg50_2_3",0.005,200,2,0.754385964912281,1,0,0.988571428571429,44
"cg50_2_3",0.005,2000,2,0.964912280701754,0.982142857142857,0.000856164383561644,0.997551020408163,22
"cg50_2_3",0.05,200,2,0.824561403508772,0.903846153846154,0.00428082191780822,0.987755102040816,44
"cg50_2_3",0.05,2000,2,0.964912280701754,0.916666666666667,0.00428082191780822,0.994285714285714,29
"cg50_2_4",0.005,200,2,0.851851851851852,1,0,0.993469387755102,34
"cg50_2_4",0.005,2000,2,0.981481481481482,1,0,0.999183673469388,17
"cg50_2_4",0.05,200,2,0.944444444444444,0.894736842105263,0.00512382578992314,0.99265306122449,28
"cg50_2_4",0.05,2000,2,1,0.870967741935484,0.00683176771989752,0.993469387755102,21
"cg50_2_5",0.005,200,2,0.829787234042553,0.975,0.000848896434634975,0.99265306122449,30
"cg50_2_5",0.005,2000,2,1,1,0,1,16
"cg50_2_5",0.05,200,2,0.893617021276596,0.933333333333333,0.00254668930390492,0.993469387755102,26
"cg50_2_5",0.05,2000,2,1,0.92156862745098,0.0033955857385399,0.996734693877551,19
"cg50_2_6",0.005,200,2,0.857142857142857,0.923076923076923,0.00253592561284869,0.99265306122449,28
"cg50_2_6",0.005,2000,2,1,1,0,1,16
"cg50_2_6",0.05,200,2,0.904761904761905,0.826086956521739,0.00676246830092984,0.990204081632653,30
"cg50_2_6",0.05,2000,2,1,0.954545454545455,0.00169061707523246,0.998367346938775,22
"cg50_2_7",0.005,200,2,0.877551020408163,0.977272727272727,0.000850340136054422,0.994285714285714,39
"cg50_2_7",0.005,2000,2,0.959183673469388,0.959183673469388,0.00170068027210884,0.996734693877551,30
"cg50_2_7",0.05,200,2,0.877551020408163,0.934782608695652,0.00255102040816327,0.99265306122449,39
"cg50_2_7",0.05,2000,2,0.959183673469388,0.903846153846154,0.00425170068027211,0.994285714285714,32
"cg50_2_8",0.005,200,2,0.822222222222222,1,0,0.993469387755102,34
"cg50_2_8",0.005,2000,2,1,1,0,1,16
"cg50_2_8",0.05,200,2,0.911111111111111,0.891304347826087,0.00423728813559322,0.99265306122449,30
"cg50_2_8",0.05,2000,2,1,0.865384615384615,0.00593220338983051,0.994285714285714,26
"cg50_2_9",0.005,200,2,0.893617021276596,1,0,0.995918367346939,30
"cg50_2_9",0.005,2000,2,1,0.979166666666667,0.000848896434634975,0.999183673469388,20
"cg50_2_9",0.05,200,2,0.914893617021277,0.955555555555556,0.00169779286926995,0.995102040816327,26
"cg50_2_9",0.05,2000,2,1,0.854545454545454,0.0067911714770798,0.993469387755102,27
"cg50_2_10",0.005,200,2,0.921052631578947,0.972222222222222,0.0008424599831508,0.996734693877551,24
"cg50_2_10",0.005,2000,2,1,1,0,1,17
"cg50_2_10",0.05,200,2,0.973684210526316,0.787234042553192,0.008424599831508,0.991020408163265,27
"cg50_2_10",0.05,2000,2,1,0.883720930232558,0.004212299915754,0.995918367346939,22
"cg50_2_11",0.005,200,2,0.904761904761905,0.974358974358974,0.00084530853761623,0.995918367346939,23
"cg50_2_11",0.005,2000,2,0.976190476190476,1,0,0.999183673469388,15
"cg50_2_11",0.05,200,2,0.952380952380952,0.888888888888889,0.00422654268808115,0.994285714285714,22
"cg50_2_11",0.05,2000,2,0.976190476190476,0.82,0.00760777683854607,0.991836734693878,24
"cg50_2_12",0.005,200,2,0.8,1,0,0.991836734693878,34
"cg50_2_12",0.005,2000,2,0.92,1,0,0.996734693877551,22
"cg50_2_12",0.05,200,2,0.82,0.931818181818182,0.0025531914893617,0.990204081632653,37
"cg50_2_12",0.05,2000,2,0.92,0.958333333333333,0.00170212765957447,0.995102040816327,26
"cg50_2_13",0.005,200,2,0.807017543859649,1,0,0.991020408163265,40
"cg50_2_13",0.005,2000,2,0.929824561403509,0.963636363636364,0.00171232876712329,0.995102040816327,25
"cg50_2_13",0.05,200,2,0.842105263157895,0.941176470588235,0.00256849315068493,0.990204081632653,38
"cg50_2_13",0.05,2000,2,0.947368421052632,0.857142857142857,0.00770547945205479,0.990204081632653,30
"cg50_2_14",0.005,200,2,0.788461538461538,0.953488372093023,0.00170502983802217,0.989387755102041,40
"cg50_2_14",0.005,2000,2,1,0.981132075471698,0.000852514919011083,0.999183673469388,13
